rera_no,project_name,promoter,location,district,pincode,state,last_modified,source
P51800003802,Kisna,Shreeji Realties Private Limited,Andheri,Mumbai Suburban,400055,MAHARASHTRA,2017-08-06,maharera
P52000004543,AKSHAR ESTONIA,VAGAD BUILDERS AND DEVELOPERS PRIVATE LIMITED,Uran,Raigarh,400702,MAHARASHTRA,2021-09-09,maharera
P52100002390,Goodwill Palette,Ira Ventures,Haveli,Pune,412101,MAHARASHTRA,2017-07-31,maharera
P52100001429,ANSHUL CASA G BUILDING,M/S ANSHUL SIDDHI PROMOTERS AND BUILDERS,Mulshi,Pune,411057,MAHARASHTRA,2017-07-28,maharera
P52000009879,VASANI HERITAGE,VASANI INFRA PROJECT,Panvel,Raigarh,410208,MAHARASHTRA,2017-08-22,maharera
P51700000448,"PALAVA CLARA A to D, D1",Lodha Developers Limited,Kalyan,Thane,421202,MAHARASHTRA,2018-09-28,maharera
P51800004733,CHANDAN CHS LTD,AUM G M HEIGHTS,Andheri,Mumbai Suburban,400056,MAHARASHTRA,2017-08-09,maharera
P52100002667,ATHASHRI BANER COMMERCIAL,PARANJAPE SCHEMES (CONSTRUCTION) LTD,Haveli,Pune,411045,MAHARASHTRA,2018-06-05,maharera
P99000003651,C SQUARE PARK,C'SQUARE REALTY PVT.LTD.,Vasai,Palghar,401303,MAHARASHTRA,2024-04-05,maharera
P52100001675,Homewood 37 Kondhwa,RAJESH PRABHAKAR KAWADE,Haveli,Pune,411048,MAHARASHTRA,2017-07-29,maharera
P51800001690,Boulevard  Tower 5,Acme Realties Private Limited,Andheri,Mumbai Suburban,400060,MAHARASHTRA,2026-04-14,maharera
P52100002486,DISHA PRIMO,JAY GANESH CORPORATE,Shirur,Pune,412210,MAHARASHTRA,2017-08-01,maharera
P52700009557,Anandgriha- Phase I,KACHHI PROPERTIES,Satara,Satara,415002,MAHARASHTRA,2017-08-22,maharera
P99000002430,Avenue D - Phase III,Venus Developers,Vasai,Palghar,401303,MAHARASHTRA,2017-08-01,maharera
P51700000928,Hotel,ROMA BUILDERS PRIVATE LIMITED,Thane,Thane,400607,MAHARASHTRA,2021-09-09,maharera
P53000001365,Shree Yash Varad,Powar Associates,Karvir,Kolhapur,416010,MAHARASHTRA,2017-07-27,maharera
P52100002683,Goodwill Nirmiti A Building,Unique Choice Ventures,Haveli,Pune,411047,MAHARASHTRA,2017-08-02,maharera
