building,location,bhk,sqft,furnishing,price,listed_date,source
Navratan,Bandra West,2 BHK,1100 sqft,,₹4.75 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Gulrukh,Worli,4 BHK,2500 sqft,,₹25.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
White Lotus,Santacruz West,4 BHK,1600 sqft,,₹11.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Ashirwad,Malad West,1 BHK,,,₹1.35 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Platinum Life,Andheri West,3 BHK,950 sqft,Fully Furnished,₹4.75 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Ashtavinayak CHS,Andheri West,4.5 BHK,1360 sqft,,₹5.25 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
DLH Dream Tower,Andheri West,3 BHK,2100 sqft,Semi Furnished,₹7.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Eleganzia Royale,Andheri West,3 BHK,1400 sqft,,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Lodha Fiorenza,Goregaon East,4 BHK,900 sqft,,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Lodha Venezia,Parel,3 BHK,1068 sqft,,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sunteck City,Goregaon West,2 BHK,583 sqft,,₹70000,Listed 23 Jun 2026 · 04:40 PM,propi_in
DLH Orchid,Andheri West,3 BHK,708 sqft,,₹3.50 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
New Heritage,Andheri West,2 BHK,950 sqft,,₹78000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sheetal Hariniketan,Khar West,3 BHK,870 sqft,,₹4.35 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Lodha Venezia,Parel,3 BHK,1167 sqft,,₹7.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Mayfair Apartments,Andheri West,2 BHK,650 sqft,Fully Furnished,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sai Krishna,Andheri West,2 BHK,614 sqft,Semi Furnished,₹75000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Ankita Building,Andheri West,1 BHK,,,₹60000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Silver Anklet Apartments,Andheri West,1 BHK,,,₹68000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Padmavati Apartment,Andheri West,1 BHK,475 sqft,,₹55000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Yamuna Nagar Welfare Society,Andheri West,1 BHK,,,₹70000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Prabhat Co-operative Housing Society,Goregaon West,2 BHK,710 sqft,,₹65000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sunvin Apartment,Andheri West,1 BHK,,,₹52000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Jeevan Saathi Apartment,Andheri West,2 BHK,558 sqft,,₹2.45 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Brookfield,Andheri West,1 BHK,530 sqft,,₹2.45 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Oberoi Garden Estate,Andheri East,,3900 sqft,,₹6 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Athena,Goregaon West,1 BHK,388 sqft,,₹1.25 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Adarsh Regal,Malad West,2.5 BHK,,,₹65000,Listed 23 Jun 2026 · 04:40 PM,propi_in
New Simit Apartment,Malad West,2 BHK,584 sqft,Fully Furnished,₹2.35 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Gauri Excellency,Kandivali West,2 BHK,733 sqft,,₹1.99 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Veda Sangam Lifespaces,Andheri East,2 BHK,,,₹70000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Grace Pinnacle,Andheri West,3 BHK,900 sqft,,₹3.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Chitralekha Heritage,Andheri West,2 BHK,750 sqft,,₹90000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Victoria Apartments,Andheri West,2 BHK,750 sqft,Semi Furnished,₹3.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
New Mhada,Andheri West,3 BHK,970 sqft,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Wahedna Apartment,Bandra East,3 BHK,,,₹3 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Gundecha Symphony,Andheri West,3 BHK,847 sqft,,₹3.49 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Cliff Tower,Andheri West,2 BHK,750 sqft,Furnished,₹95000,Listed 23 Jun 2026 · 04:40 PM,propi_in
HDIL Harmony,Goregaon West,2 BHK,,,₹2.10 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
North Bombay Society,Juhu,3 BHK,900 sqft,,₹6.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Abhimanyu,Malad West,2 BHK,650 sqft,,₹1.95 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Mehta Residency,Dadar East,2 BHK,717 sqft,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Lodha Eternis,Andheri East,3 BHK,1300 sqft,,₹4.25 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Zindagi,Khar West,3 BHK,2240 sqft,,₹13.40 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sunteck Gilbird,Andheri West,3 BHK,888 sqft,Semi Furnished,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Green Diamond,Andheri West,2 BHK,743 sqft,,₹85000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Panchmukhi Building,Andheri West,3 BHK,,Furnished,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Raj Rahul,Juhu,3 BHK,1950 sqft,,₹13.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
9 JVPD,Juhu,4 BHK,2300 sqft,,₹17.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Nisha Residency,Goregaon West,3 BHK,1100 sqft,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Parijat,Vile Parle West,3 BHK,1000 sqft,,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Ritu Apartments,Walkeshwar,2 BHK,850 sqft,,₹9.70 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Piramal Aranya Avyan,Byculla,3 BHK,1565 sqft,,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Monte South,Byculla,3.5 BHK,1400 sqft,,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Palazzo,Khar West,3 BHK,1260 sqft,,₹3 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Dheeraj Izarra,Khar West,3 BHK,1250 sqft,Semi Furnished,₹3 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Kalpataru Avana,Parel,3 BHK,1848 sqft,,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
New Apsara,Bandra West,4 BHK,1300 sqft,,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Lily Apartment,Bandra West,3 BHK,1100 sqft,,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Indiabulls Sky Forest,Lower Parel,4 BHK,,,₹16 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Blue Empire Complex,Kandivali West,2 BHK,700 sqft,,₹50000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Kabra Metro One,Andheri West,4 BHK,1550 sqft,,₹8.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Valencia,Andheri West,3 BHK,1000 sqft,,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Omkar 1973,Worli,6 BHK,6000 sqft,Semi Furnished,₹41.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Corporate Annexe,Goregaon East,,425 sqft,,₹85000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sunteck Pearl,Bandra East,4 BHK,3600 sqft,,₹29.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Kolte Patil Verve,Goregaon West,2 BHK,760 sqft,,₹80000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Parinee Liva Roca,Juhu,4 BHK,,,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Parinee Liva Roca,Juhu,5 BHK,2260 sqft,,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Mayfair Silver Beach,Juhu,3 BHK,1150 sqft,,₹6.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sun and Moon,Borivali East,2 BHK,,,₹55000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Arista Orlem Highrise,Malad West,3 BHK,926 sqft,,₹80000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Shah Arcade 2,Malad East,3 BHK,,,₹85000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Madhuban Towers,Andheri West,2 BHK,680 sqft,,₹2.50 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sagar Avenue,Santacruz East,2 BHK,,,₹80000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Linkway,Khar West,3 BHK,900 sqft,,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Panchmukhi Building,Andheri West,2.5 BHK,1000 sqft,,₹90000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Auris Serenity,Malad West,5 BHK,1610 sqft,,₹7.50 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Olympus,Altamount Road,3 BHK,2000 sqft,,₹5 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Madhuban Towers,Andheri West,2 BHK,750 sqft,,₹2.60 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Omkar 1973,Worli,4 BHK,2500 sqft,,₹6 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Indiabulls Blu,Worli,2.5 BHK,1200 sqft,,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Tej Apartment,Kemps Corner,2 BHK,700 sqft,,₹95000,Listed 23 Jun 2026 · 04:40 PM,propi_in
L&T Crescent Bay,Parel,4 BHK,2100 sqft,,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Majestic Tower,Prabhadevi,3 BHK,1080 sqft,,₹5.35 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Oceanic,Breach Candy,2 BHK,829 sqft,,₹3 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Oceanic,Breach Candy,1 BHK,540 sqft,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Vinayak Heights,Bandra West,2 BHK,600 sqft,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Dheeraj Diamond,Malad West,2 BHK,640 sqft,,₹1.55 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Satguru Rendezvous,Bandra West,3 BHK,1100 sqft,,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Ravi Kiran CHS,Andheri West,3 BHK,900 sqft,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sumer Trinity,Prabhadevi,3 BHK,1450 sqft,,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sherly Queen,Bandra West,1.5 BHK,,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
One Avighna Park,Lower Parel,4.5 BHK,3000 sqft,,₹8 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Oberoi Esquire,Goregaon East,3.5 BHK,,,₹11.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Tower 28,Malad East,1 BHK,445 sqft,,₹1.25 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Oberoi Sky City,Borivali East,3 BHK,2146 sqft,,₹3 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Rustomjee Adarsh Excellency,Malad West,2 BHK,800 sqft,,₹65000,Listed 23 Jun 2026 · 04:40 PM,propi_in
India Bulls Sky Forest,Lower Parel,4 BHK,2100 sqft,,₹20.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Atlas Skywalker,Andheri West,2 BHK,895 sqft,,₹3.65 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Bharat Belmonte,Andheri West,2 BHK,698 sqft,,₹2.70 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Samarth Deep,Andheri West,2 BHK,800 sqft,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sneha Building,Andheri West,3 BHK,950 sqft,,₹85000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Shantivan CHS,Andheri West,2 BHK,,,₹60000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Godrej The Trees,Vikhroli,1 BHK,450 sqft,,₹1.95 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Kanakia Silicon Valley,Powai,2 BHK,565 sqft,,₹2.20 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Orva,Bandra West,4 BHK,,,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Gautam Darshan,Andheri West,1.5 BHK,,,₹57000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Cozy Apartment,Andheri West,2 BHK,580 sqft,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
25 South Tower,Prabhadevi,4 BHK,2834 sqft,,₹33.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Indiabulls Sky,Lower Parel,4 BHK,3000 sqft,,₹17.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Krishna Residency,Andheri East,3 BHK,1041 sqft,,₹3.65 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Metro Millenium,Malad West,3 BHK,,,₹85000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Palm Springs,Malad West,3 BHK,,,₹85000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Richa,Andheri West,,,,₹65000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Bhimashankar Height,Dahisar West,3 BHK,995 sqft,,₹3.10 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Siddhi Samarpan,Dahisar West,3 BHK,1170 sqft,,₹3.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Radha Krishna,Borivali East,2 BHK,,,₹60000,Listed 23 Jun 2026 · 04:40 PM,propi_in
Viceroy Prive,Kandivali East,4 BHK,2299 sqft,,₹12.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Windsor Grande Residences,Andheri West,6 BHK,4600 sqft,,₹9 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Raheja Imperia,Worli,5 BHK,2826 sqft,,₹28.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Suman,Bandra West,2 BHK,700 sqft,,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Anand Sagar,Bandra West,2 BHK,700 sqft,,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Rustomjee Parishram,Bandra West,2 BHK,900 sqft,Fully Furnished,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Shalimar Apartments,Santacruz West,2 BHK,700 sqft,Fully Furnished,₹1 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Prakash Villa,Santacruz West,2 BHK,800 sqft,Fully Furnished,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Flushel Apartment,Bandra West,2 BHK,800 sqft,Unfurnished,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Rang Mahal,Bandra West,2 BHK,900 sqft,,₹13.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Rang Mahal,Bandra West,3 BHK,1500 sqft,,₹22.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Hubtown Sunstone,Bandra East,2 BHK,750 sqft,Fully Furnished,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Kanakia Paris,Bandra East,4 BHK,2400 sqft,Semi-Furnished,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Solitaire Apartments,Bandra West,3 BHK,1500 sqft,Semi-Furnished,₹5 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Kakad Imperial,Bandra West,3 BHK,1200 sqft,Semi-Furnished,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Bajaj Onyx,Bandra West,3 BHK,1300 sqft,Semi-Furnished,₹3 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Joanna Villa,Bandra West,4 BHK,1550 sqft,Fully Furnished,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Classic Corner,Bandra West,4 BHK,2000 sqft,Fully Furnished,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Anand Bhuvan,Santacruz West,4 BHK,1700 sqft,Semi-Furnished,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
West Coast Apartment,Bandra West,2 BHK,,,₹2 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Dheeraj Aashna,Bandra West,3 BHK,1375 sqft,,₹3 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Rustomjee 9,Juhu,3 BHK,1396 sqft,,₹3 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
West Bay Apartments,Bandra West,3 BHK,1265 sqft,,₹3 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Kohinoor Altissimo,Dadar West,3 BHK,1575 sqft,,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Samarth Angan,Andheri West,3 BHK,1550 sqft,,₹5.95 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Kalpana,Khar West,3.5 BHK,,Semi-Furnished,₹3 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Shreyas CHS,Nariman Point,3 BHK,1400 sqft,,₹15.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Jupiter,Cuffe Parade,3 BHK,1400 sqft,,₹10.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Piramal Mahalaxmi,Mahalaxmi,2 BHK,1152 sqft,,₹10.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Lovedale,Colaba,3 BHK,1000 sqft,,₹6.00 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Monte South,Byculla,2 BHK,852 sqft,,₹4.70 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Orchid Enclave,Mumbai Central,3 BHK,1288 sqft,,₹6.25 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Sarkar Residency,Byculla,2 BHK,625 sqft,,₹2.40 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
MAK Mariano,Prabhadevi,2 BHK,520 sqft,,₹2.75 Cr,Listed 23 Jun 2026 · 04:40 PM,propi_in
Lifescapes Aquino,Prabhadevi,3 BHK,1540 sqft,,₹4 L,Listed 23 Jun 2026 · 04:40 PM,propi_in
Gokul Mohan,Santacruz West,2 BHK,,,₹70000,Listed 23 Jun 2026 · 04:39 PM,propi_in
Kesar Kripa,Khar West,2 BHK,750 sqft,,₹4.25 Cr,Listed 23 Jun 2026 · 04:39 PM,propi_in
Villa Rosa,Bandra West,3 BHK,1200 sqft,,₹2 L,Listed 23 Jun 2026 · 04:39 PM,propi_in
Nalanda,Peddar Road,1 BHK,656 sqft,,₹1 L,Listed 23 Jun 2026 · 04:39 PM,propi_in
Bhagwati Bhuvan,Peddar Road,3 BHK,1076 sqft,,₹5.50 Cr,Listed 23 Jun 2026 · 04:39 PM,propi_in
Runwal Rare,Andheri West,3 BHK,1101 sqft,,₹2 L,Listed 23 Jun 2026 · 04:39 PM,propi_in
Shishira Tower,Andheri West,4 BHK,,,₹2 L,Listed 23 Jun 2026 · 04:39 PM,propi_in
Panorama Tower,Andheri West,1 BHK,460 sqft,,₹50000,Listed 23 Jun 2026 · 04:39 PM,propi_in
Monisha Tower,Andheri West,1 BHK,,,₹52000,Listed 23 Jun 2026 · 04:39 PM,propi_in
Kanchanganga Building,Andheri West,1 BHK,,,₹52000,Listed 23 Jun 2026 · 04:39 PM,propi_in
Raheja Residency,Malad East,1 BHK,,,₹55000,Listed 23 Jun 2026 · 04:39 PM,propi_in
Trump Tower,Worli,7 BHK,3000 sqft,,₹30.00 Cr,Listed 23 Jun 2026 · 04:39 PM,propi_in
Valencia,Andheri West,3 BHK,1200 sqft,,₹2 L,Listed 23 Jun 2026 · 04:39 PM,propi_in
Kesar Kripa,Khar West,2 BHK,750 sqft,,₹1 L,Listed 23 Jun 2026 · 04:39 PM,propi_in
Mon Desire,Bandra West,3 BHK,1100 sqft,,₹3 L,Listed 23 Jun 2026 · 04:39 PM,propi_in
Neelam,Bandra West,3 BHK,1500 sqft,,₹4 L,Listed 23 Jun 2026 · 04:39 PM,propi_in
Tej Apartment,Kemps Corner,1.5 BHK,700 sqft,,₹95000,Listed 23 Jun 2026 · 04:39 PM,propi_in
Rishabraj Mangal Varsha,Santacruz West,3 BHK,1178 sqft,,₹2 L,Listed 23 Jun 2026 · 04:39 PM,propi_in
Jyoti,Santacruz West,3 BHK,1150 sqft,,₹3 L,Listed 23 Jun 2026 · 04:39 PM,propi_in
Aashiyana,Bandra West,2 BHK,635 sqft,,₹2 L,Listed 23 Jun 2026 · 04:39 PM,propi_in
White Lotus,Santacruz West,4 BHK,2000 sqft,,₹11.00 Cr,Listed 23 Jun 2026 · 04:39 PM,propi_in
Gurudev Bhavan,Khar West,4 BHK,2337 sqft,Semi Furnished,₹5 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Rama Krishna,Khar West,2 BHK,800 sqft,Fully Furnished,₹2 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Land Breeze,Bandra West,2 BHK,800 sqft,Semi Furnished,₹2 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Arihant Apartment,Khar West,4 BHK,2200 sqft,Fully Furnished,₹4 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Golden Heights,Andheri West,3 BHK,1225 sqft,Semi Furnished,₹6.75 Cr,Listed 23 Jun 2026 · 04:38 PM,propi_in
Auris Bliss,Malad West,2 BHK,600 sqft,Semi Furnished,₹60000,Listed 23 Jun 2026 · 04:38 PM,propi_in
Lodha Bellagio,Powai,2½ BHK,919 sqft,Fully Furnished,₹1 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Frangipani,Powai,3 BHK,,Fully Furnished,₹1 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Frangipani,Powai,,,,₹1 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Lodha Bellagio,Powai,,,,₹1 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Lotus Ayana,Juhu,,1560 sqft,Semi-Furnished,₹9.50 Cr,Listed 23 Jun 2026 · 04:38 PM,propi_in
Lodha Evoq,Wadala,3 BHK,1680 sqft,Semi Furnished,₹6.50 Cr,Listed 23 Jun 2026 · 04:38 PM,propi_in
One Avighna Park,Lower Parel,5 BHK,3500 sqft,Semi Furnished,₹6 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Versova View,Andheri West,1 BHK,550 sqft,Semi Furnished,₹42000,Listed 23 Jun 2026 · 04:38 PM,propi_in
Vasant Oasis,Andheri East,2 BHK,600 sqft,Fully Furnished,₹1 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Rustomjee 9,Juhu,,1180 sqft,Semi-Furnished,₹6.90 Cr,Listed 23 Jun 2026 · 04:38 PM,propi_in
Rustomjee 9,Juhu,,750 sqft,Semi-Furnished,₹4.51 Cr,Listed 23 Jun 2026 · 04:38 PM,propi_in
Marina Bay,Worli,,1817 sqft,Semi-Furnished,₹8 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
K K Tower,Parel,,1374 sqft,,₹4 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Indra Darshan,Andheri West,,,Semi-Furnished,₹4.75 Cr,Listed 23 Jun 2026 · 04:38 PM,propi_in
Indra Darshan,Andheri West,,,Semi-Furnished,₹3.10 Cr,Listed 23 Jun 2026 · 04:38 PM,propi_in
DLH Leo Tower,Andheri West,,,,₹1 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Runwal Forest,Kanjur Marg,,663 sqft,,₹70000,Listed 23 Jun 2026 · 04:38 PM,propi_in
Silver Palace,Bandra West,,,,₹2 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Omkar Vive,Bandra Kurla Complex,,380 sqft,Semi-Furnished,₹95000,Listed 23 Jun 2026 · 04:38 PM,propi_in
Platinum Life,Andheri West,,800 sqft,Semi-Furnished,₹1 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Duplex Heights,Andheri West,,,Semi-Furnished,₹57000,Listed 23 Jun 2026 · 04:38 PM,propi_in
Sheth Avante,Kanjur Marg,,555 sqft,,₹55000,Listed 23 Jun 2026 · 04:38 PM,propi_in
N G Royal Park,Kanjur Marg,,870 sqft,,₹75000,Listed 23 Jun 2026 · 04:38 PM,propi_in
Lodha Aurum Grande,Kanjur Marg,,792 sqft,,₹95000,Listed 23 Jun 2026 · 04:38 PM,propi_in
Lokhandwala Harmony,Worli,,1700 sqft,,₹3 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Dgs Sheetal Regalia,Borivali East,,795 sqft,,₹2.55 Cr,Listed 23 Jun 2026 · 04:38 PM,propi_in
Gami Jade,Vashi,,,Semi-Furnished,₹2.55 Cr,Listed 23 Jun 2026 · 04:38 PM,propi_in
Sheth Avante,Kanjur Marg,,891 sqft,Semi-Furnished,₹80000,Listed 23 Jun 2026 · 04:38 PM,propi_in
Runwal Forest,Kanjur Marg,,1129 sqft,Semi-Furnished,₹1 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Arkade Earth,Kanjur Marg,,700 sqft,Fully Furnished,₹80000,Listed 23 Jun 2026 · 04:38 PM,propi_in
One Avighna Park,Lower Parel,,3300 sqft,Semi-Furnished,₹8 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Runwal Bliss,Kanjur Marg,,2000 sqft,Semi-Furnished,₹2 L,Listed 23 Jun 2026 · 04:38 PM,propi_in
Rustomjee 9,Juhu,,1180 sqft,Semi-Furnished,₹6.90 Cr,Listed 23 Jun 2026 · 04:38 PM,propi_in
Dosti Eastern Bay,Wadala,2 BHK,560 sqft,Semi Furnished,₹90000,Listed 23 Jun 2026 · 04:04 PM,propi_in
Sona Villa,Bandra West,3 BHK,1500 sqft,Semi-Furnished,₹4 L,Listed 23 Jun 2026 · 03:58 PM,propi_in
Neelgagan Society,Andheri West,1 BHK,500 sqft,Semi Furnished,₹46000,Listed 23 Jun 2026 · 01:07 PM,propi_in
Dosti Eastern Bay,Wadala,3.5 BHK,,Semi-Furnished,₹2 L,Listed 23 Jun 2026 · 09:10 AM,propi_in
Omkar Alta Monte,Malad East,4.5 BHK,3311 sqft,,₹9.75 Cr,Listed 23 Jun 2026 · 09:10 AM,propi_in
NG Eclat,Andheri West,2 BHK,895 sqft,,₹4.04 Cr,Listed 23 Jun 2026 · 09:06 AM,propi_in
NG Eclat,Andheri West,3 BHK,1235 sqft,,₹5.09 Cr,Listed 23 Jun 2026 · 09:06 AM,propi_in
Tulsi Vihar,Worli,1½ BHK,750 sqft,Fully Furnished,₹1 L,Listed 23 Jun 2026 · 09:03 AM,propi_in
Sheelmarie CHS,Worli,3 BHK,1500 sqft,Semi Furnished,₹4 L,Listed 23 Jun 2026 · 09:03 AM,propi_in
