building_id,canonical_name,alias
3772,Dosti Mezzo,Dosti Mezzo 22
3774,Kalpataru,Kalpataru Residency
3782,Aarti,Aarti Building
3792,Girnar,Girnar Building
3796,Imperial Tower,Imperial Tower
3796,Imperial Tower,Imperial
3826,Ashar Sapphire,Ashar Sapphire CHS
3859,Dosti Imperia,Dosti Imperia Gracia
3863,Dosti West County,Dosti West County - Dosti Cedar
3863,Dosti West County,Dosti West County Heron
3863,Dosti West County,Dosti West County Olive
3886,Hiranandani Meadows,"Hiranandani Meadows, Manpada"
3889,Hiranandani Walk,Hiranandani The Walk
3894,Jasmine Tower,Jasmine Towers
3898,Kalpataru Hills,Kalpataru Hills Pristine
3901,Kalpataru Sunrise,Kalpataru Sunrise Kolshet
3911,Lodha Luxuria,Lodha Luxuria Priva
3911,Lodha Luxuria,Lodha Luxuria Secret
3942,Piramal Vaikunth,Piramal Vaikunth Vairat
3942,Piramal Vaikunth,Piramal Vaikunth Vyan
3947,Prestige Gardens,Prestige
3963,Regency Tower,Regency Towers
3979,Rustomjee Azziano,Rustomjee Azziano J Wing
3990,Sheth Avalon,Sheth Avalon G Wing
4010,Walk,The Walk
4060,Godrej Trees,Godrej The Trees
4060,Godrej Trees,Godrej Trees
4060,Godrej Trees,Godrej Trees I
4097,Insignia,Insignia Apartment
4116,Shiv Om,Shiv Om Building
4117,Snehadhara CHS,Snehadhara CHSL
4149,Lodha Supremus,Lodha Supremus Kolshet
4155,Anita,Anita Apartment
4191,Legend,The Legend
4194,"Allura , Lodha Park","Allura, Lodha Park"
4217,Gulistan,Gulistan Building
4224,Himalaya,Himalaya Building
4225,India Bulls Blue,Indiabulls Blu
4233,Lodha Adrina,Lodha Adrina
4238,Lodha Park,Lodha Park
4238,Lodha Park,Lodha Parkside
4240,Lodha Trump,Lodha Trump
4257,Omkar,Omkar 1973
4258,Orchid Tower,Orchid Tower
4264,Poonam Apartment,Poonam Apartment
4268,Priya,Priya Building
4274,Racecourse and Sea View | South Mumbai,Racecourse & Sea View | South Mumbai
4283,Runwal Reserve,Runwal Reserve
4283,Runwal Reserve,Runwal Reserve ( Worli
4293,Shubhda Tower,Shubhda Towers
4300,Park,The Park
4301,"Park, Lodha","The Park, Lodha"
4302,Trump Tower,Trump Tower
4306,Venus,Venus Apartment
4363,LandT Crescent Bay,L&T Crescent Bay
4364,LandT Emerald Isle,L&T Emerald Isle
4365,LandT Veridian,L&T Veridian
4409,Prabhat CHS,Prabhat CHSL
